Timestamp,User_ID,Application,Signal_Str,Latency,Required_,Allocated_,Resource_Allocation
1,User_1,Emergency,-37 dBm,10 ms,5.00 Mbps,3.79 Mbps,76%
1,User_2,Video_Call,-39 dBm,9 ms,3.00 Mbps,2.64 Mbps,88%
1,User_3,Voice_Call,-33 dBm,9 ms,1.50 Mbps,1.08 Mbps,72%
1,User_4,Streaming,-43 dBm,12 ms,2.50 Mbps,2.18 Mbps,87%
1,User_5,Online_Gaming,-36 dBm,12 ms,2.00 Mbps,1.41 Mbps,70%
1,User_6,Background,-38 dBm,12 ms,0.80 Mbps,0.71 Mbps,88%
1,User_7,Web_Browsing,-35 dBm,11 ms,1.20 Mbps,0.96 Mbps,80%
1,User_8,IoT_Temp,-35 dBm,10 ms,0.10 Mbps,0.08 Mbps,78%
1,User_9,Video_Streaming,-40 dBm,9 ms,2.00 Mbps,1.75 Mbps,87%
1,User_10,Emergency,-40 dBm,11 ms,5.00 Mbps,3.52 Mbps,70%
1,User_11,Video_Call,-34 dBm,10 ms,3.00 Mbps,2.43 Mbps,81%
1,User_12,Voice_Call,-41 dBm,12 ms,1.50 Mbps,1.13 Mbps,75%
1,User_13,Streaming,-40 dBm,11 ms,2.50 Mbps,2.18 Mbps,87%
1,User_14,Online_Gaming,-40 dBm,13 ms,2.00 Mbps,1.78 Mbps,89%
1,User_15,Background,-41 dBm,9 ms,0.80 Mbps,0.71 Mbps,89%
1,User_16,Web_Browsing,-37 dBm,10 ms,1.20 Mbps,0.86 Mbps,71%
1,User_17,IoT_Temp,-39 dBm,9 ms,0.10 Mbps,0.08 Mbps,76%
1,User_18,Video_Streaming,-40 dBm,9 ms,2.00 Mbps,1.69 Mbps,85%
1,User_19,Emergency,-39 dBm,13 ms,5.00 Mbps,3.59 Mbps,72%
1,User_20,Video_Call,-41 dBm,12 ms,3.00 Mbps,2.58 Mbps,86%
1,User_21,Voice_Call,-34 dBm,7 ms,1.50 Mbps,1.21 Mbps,80%
1,User_22,Streaming,-37 dBm,8 ms,2.50 Mbps,2.16 Mbps,86%
1,User_23,Online_Gaming,-41 dBm,10 ms,2.00 Mbps,1.73 Mbps,87%
1,User_24,Background,-39 dBm,12 ms,0.80 Mbps,0.61 Mbps,77%
1,User_25,Web_Browsing,-38 dBm,9 ms,1.20 Mbps,0.92 Mbps,77%
1,User_26,IoT_Temp,-36 dBm,10 ms,0.10 Mbps,0.08 Mbps,81%
1,User_27,Video_Streaming,-36 dBm,10 ms,2.00 Mbps,1.70 Mbps,85%
1,User_28,Emergency,-40 dBm,9 ms,5.00 Mbps,3.26 Mbps,65%
1,User_29,Video_Call,-39 dBm,9 ms,3.00 Mbps,2.32 Mbps,77%
1,User_30,Voice_Call,-33 dBm,8 ms,1.50 Mbps,1.06 Mbps,70%
1,User_31,Streaming,-41 dBm,12 ms,2.50 Mbps,2.09 Mbps,83%
1,User_32,Online_Gaming,-34 dBm,11 ms,2.00 Mbps,1.57 Mbps,79%
1,User_33,Background,-36 dBm,11 ms,0.80 Mbps,0.67 Mbps,83%
1,User_34,Web_Browsing,-36 dBm,9 ms,1.20 Mbps,0.92 Mbps,76%
1,User_35,IoT_Temp,-39 dBm,12 ms,0.10 Mbps,0.07 Mbps,71%
1,User_36,Video_Streaming,-34 dBm,11 ms,2.00 Mbps,1.65 Mbps,83%
1,User_37,Emergency,-35 dBm,8 ms,5.00 Mbps,4.16 Mbps,83%
1,User_38,Video_Call,-36 dBm,10 ms,3.00 Mbps,2.66 Mbps,89%
1,User_39,Voice_Call,-40 dBm,13 ms,1.50 Mbps,1.14 Mbps,76%
1,User_40,Streaming,-39 dBm,11 ms,2.50 Mbps,1.76 Mbps,70%
1,User_41,Online_Gaming,-33 dBm,7 ms,2.00 Mbps,1.54 Mbps,77%
1,User_42,Background,-40 dBm,12 ms,0.80 Mbps,0.61 Mbps,76%
1,User_43,Web_Browsing,-38 dBm,10 ms,1.20 Mbps,0.93 Mbps,78%
1,User_44,IoT_Temp,-37 dBm,11 ms,0.10 Mbps,0.09 Mbps,90%
1,User_45,Video_Streaming,-34 dBm,9 ms,2.00 Mbps,1.43 Mbps,71%
1,User_46,Emergency,-41 dBm,9 ms,5.00 Mbps,3.15 Mbps,63%
1,User_47,Video_Call,-34 dBm,8 ms,3.00 Mbps,2.65 Mbps,88%
1,User_48,Voice_Call,-41 dBm,11 ms,1.50 Mbps,1.22 Mbps,82%
1,User_49,Streaming,-39 dBm,9 ms,2.50 Mbps,1.88 Mbps,75%
1,User_50,Online_Gaming,-39 dBm,12 ms,2.00 Mbps,1.62 Mbps,81%
1,User_51,Background,-41 dBm,13 ms,0.80 Mbps,0.65 Mbps,81%
1,User_52,Web_Browsing,-43 dBm,12 ms,1.20 Mbps,1.07 Mbps,89%
1,User_53,IoT_Temp,-38 dBm,10 ms,0.10 Mbps,0.09 Mbps,89%
1,User_54,Video_Streaming,-39 dBm,12 ms,2.00 Mbps,1.44 Mbps,72%
1,User_55,Emergency,-37 dBm,9 ms,5.00 Mbps,3.46 Mbps,69%
1,User_56,Video_Call,-39 dBm,11 ms,3.00 Mbps,2.40 Mbps,80%
1,User_57,Voice_Call,-41 dBm,13 ms,1.50 Mbps,1.28 Mbps,86%
1,User_58,Streaming,-33 dBm,9 ms,2.50 Mbps,2.01 Mbps,80%
1,User_59,Online_Gaming,-40 dBm,10 ms,2.00 Mbps,1.68 Mbps,84%
1,User_60,Background,-40 dBm,12 ms,0.80 Mbps,0.68 Mbps,86%
1,User_61,Web_Browsing,-35 dBm,12 ms,1.20 Mbps,0.85 Mbps,71%
1,User_62,IoT_Temp,-39 dBm,12 ms,0.10 Mbps,0.07 Mbps,74%
1,User_63,Video_Streaming,-40 dBm,13 ms,2.00 Mbps,1.77 Mbps,89%
1,User_64,Emergency,-32 dBm,11 ms,5.00 Mbps,3.90 Mbps,78%
1,User_65,Video_Call,-43 dBm,12 ms,3.00 Mbps,2.32 Mbps,77%
1,User_66,Voice_Call,-31 dBm,6 ms,1.50 Mbps,1.12 Mbps,75%
1,User_67,Streaming,-38 dBm,9 ms,2.50 Mbps,1.87 Mbps,75%
1,User_68,Online_Gaming,-36 dBm,12 ms,2.00 Mbps,1.72 Mbps,86%
1,User_69,Background,-33 dBm,7 ms,0.80 Mbps,0.71 Mbps,89%
1,User_70,Web_Browsing,-35 dBm,12 ms,1.20 Mbps,0.85 Mbps,71%
1,User_71,IoT_Temp,-38 dBm,9 ms,0.10 Mbps,0.08 Mbps,84%
1,User_72,Video_Streaming,-42 dBm,9 ms,2.00 Mbps,1.50 Mbps,75%
1,User_73,Emergency,-32 dBm,8 ms,5.00 Mbps,4.42 Mbps,88%
1,User_74,Video_Call,-40 dBm,11 ms,3.00 Mbps,2.17 Mbps,72%
1,User_75,Voice_Call,-34 dBm,7 ms,1.50 Mbps,1.17 Mbps,78%
1,User_76,Streaming,-38 dBm,9 ms,2.50 Mbps,2.22 Mbps,89%
1,User_77,Online_Gaming,-41 dBm,9 ms,2.00 Mbps,1.49 Mbps,75%
1,User_78,Background,-36 dBm,8 ms,0.80 Mbps,0.70 Mbps,88%
1,User_79,Web_Browsing,-39 dBm,12 ms,1.20 Mbps,0.89 Mbps,74%
1,User_80,IoT_Temp,-40 dBm,10 ms,0.10 Mbps,0.08 Mbps,82%
1,User_81,Video_Streaming,-35 dBm,11 ms,2.00 Mbps,1.43 Mbps,71%
1,User_82,Emergency,-41 dBm,9 ms,5.00 Mbps,3.03 Mbps,61%
1,User_83,Video_Call,-38 dBm,12 ms,3.00 Mbps,2.45 Mbps,82%
1,User_84,Voice_Call,-36 dBm,9 ms,1.50 Mbps,1.25 Mbps,84%
1,User_85,Streaming,-40 dBm,9 ms,2.50 Mbps,1.75 Mbps,70%
